student_id,pais,edad,genero,plan,escuela_principal,dispositivo_principal,objetivo_estudiante,nivel_educativo,experiencia_tech_anios,meses_suscrito,tipo_pago,dias_para_renovacion,intentos_pago_fallidos,fecha_registro,dias_en_gratuito_antes_pago,cursos_inscritos,tasa_completado,cursos_completados,certificados_obtenidos,rutas_inscritas,rutas_completadas,examenes_ruta_aprobados,interes_Prog,interes_DataSci,interes_Web,interes_Ingles,interes_Marketing,interes_Diseno,interes_Gestion,interes_SoftSkills,interes_Cloud,interes_Otros,dias_desde_ultimo_login,dias_desde_ultima_clase,sesiones_ultimo_mes,horas_vistas_total,horas_vistas_ultimo_mes,promedio_clases_semana,horas_semana_1,horas_semana_2,horas_semana_3,horas_semana_4,variacion_sesiones_vs_mes_anterior,racha_dias_maxima,racha_dias_actual,liveclasses_asistidas,hora_pico_uso,preguntas_en_foro,respuestas_en_foro,upvotes_recibidos,tutoriales_publicados,platzi_rank,nivel_rewards,tickets_soporte,dias_resolucion_promedio,nps_score,churn
PLZ-00001,Colombia,27,Femenino,Expert,Escuela de Programacion y Software,Mobile,Ascender en trabajo actual,Secundaria,3,12,Anual,238.0,0,2023-03-29,21,8,0.1,0,0,1,0,0,0.41,0.18,0.12,0.16,0.14,0.29,0.2,0.48,0.1,0.16,25,35,8,35,15,3.8,3.3,2.4,3.5,3.4,-0.1,3,0,6,14,1,6,13,0,285,Estandar,0,0.0,9.0,0
PLZ-00002,Uruguay,23,Femenino,Expert Duo,Escuela de Videojuegos,Mobile,Conseguir empleo tech,Tecnico,0,8,Anual,349.0,0,2022-06-20,55,11,0.2,2,1,0,0,0,0.16,0.59,0.52,0.08,0.54,0.34,0.23,0.19,0.21,0.36,1,13,11,60,12,3.0,3.8,3.1,2.7,3.4,2.0,7,2,3,13,3,3,5,0,372,Estandar,0,0.0,6.0,0
PLZ-00003,Perú,23,Masculino,Expert,Escuela de Videojuegos,Desktop,Conseguir empleo tech,Universitario en curso,3,1,Cuotas x4,247.0,0,2024-02-01,75,5,0.62,3,2,1,0,0,0.22,0.03,0.18,0.16,0.07,0.11,0.17,0.19,0.07,0.3,12,18,10,56,16,4.0,5.2,3.5,4.5,3.1,-1.7,5,0,1,17,3,1,0,0,102,Estandar,1,3.2,2.0,0
PLZ-00004,Argentina,18,Femenino,Expert Duo,Escuela de Videojuegos,Desktop,Conseguir empleo tech,Tecnico,3,11,Cuotas x4,159.0,0,2022-12-05,65,12,0.48,5,4,3,1,0,0.23,0.23,0.34,0.1,0.14,0.02,0.24,0.13,0.34,0.11,4,7,15,84,5,1.2,1.8,1.7,1.9,1.8,-0.8,1,0,5,11,2,5,12,0,801,Estandar,1,4.5,,0
PLZ-00005,México,23,Femenino,Gratuito,Escuela de Desarrollo Web,Mobile,Freelance / proyectos propios,Tecnico,0,5,Sin_suscripcion,-1.0,0,2022-02-28,31,2,0.48,0,0,1,0,0,0.03,0.57,0.53,0.19,0.28,0.39,0.22,0.06,0.33,0.15,2,4,5,7,7,1.8,1.0,1.3,1.4,2.6,3.1,7,0,0,7,4,4,10,0,201,Estandar,0,0.0,9.0,0
PLZ-00006,México,25,Masculino,Gratuito,Escuela de Marketing Digital,Mobile,Ascender en trabajo actual,Universitario completo,2,1,Sin_suscripcion,-1.0,0,2023-05-22,4,6,0.05,0,0,0,0,0,0.18,0.31,0.23,0.19,0.13,0.04,0.43,0.43,0.09,0.17,88,96,0,16,0,0.0,0.0,0.0,0.0,0.0,-7.2,5,0,0,22,2,5,14,0,55,Estandar,0,0.0,4.0,0
PLZ-00007,México,20,Femenino,Expert,Escuela de Ingles,Desktop,Conseguir empleo tech,Universitario en curso,5,2,Anual,7.0,0,2023-04-25,76,13,0.23,2,1,0,0,0,0.2,0.4,0.12,0.13,0.34,0.16,0.11,0.08,0.57,0.34,12,24,5,44,26,6.5,7.2,4.4,3.8,4.7,7.0,23,0,1,17,4,5,12,1,217,Estandar,0,0.0,10.0,1
PLZ-00008,Venezuela,26,No especifica,Expert Duo,Escuela de Programacion y Software,Desktop,Conseguir empleo tech,Universitario en curso,0,18,Anual,360.0,0,2023-10-31,15,6,0.6,3,2,3,1,1,0.16,0.08,0.02,0.07,0.21,0.14,0.36,0.44,0.13,0.18,10,18,12,36,26,6.5,4.1,3.7,4.0,4.8,2.7,29,0,4,19,1,4,12,0,1156,Estandar,0,0.0,,0
PLZ-00009,Argentina,29,Femenino,Expert Duo,Escuela de Ingles,Mobile,Conseguir empleo tech,Posgrado,0,11,Cuotas x4,77.0,0,2024-08-02,16,18,0.35,6,5,0,0,0,0.2,0.03,0.23,0.04,0.41,0.34,0.2,0.27,0.15,0.06,4,10,12,64,7,1.8,2.5,1.7,1.0,0.9,-1.8,16,0,4,8,2,3,11,0,584,Estandar,0,0.0,10.0,1
PLZ-00010,Argentina,25,Masculino,Expert,Escuela de Programacion y Software,Desktop,Ascender en trabajo actual,Universitario en curso,10,34,Anual,257.0,0,2024-10-20,2,9,0.5,4,3,1,0,0,0.52,0.25,0.21,0.39,0.1,0.19,0.17,0.3,0.15,0.53,5,14,4,42,27,6.8,10.1,4.3,7.8,7.6,4.2,1,0,6,15,4,3,7,0,940,Estandar,0,0.0,7.0,0
PLZ-00011,México,30,Masculino,Expert,Escuela de Data Science e Inteligencia Artificial,Desktop,Conseguir empleo tech,Posgrado,5,2,Cuotas x4,37.0,0,2023-03-24,82,7,0.5,3,2,1,0,0,0.19,0.07,0.06,0.08,0.06,0.49,0.6,0.02,0.12,0.1,29,32,10,52,19,4.8,4.3,4.9,4.3,2.4,1.9,20,0,2,19,2,7,23,1,207,Estandar,1,6.9,10.0,1
PLZ-00012,Guatemala,22,Masculino,Basic,Escuela de Cloud Computing,Mobile,Freelance / proyectos propios,Universitario en curso,2,4,Mensual,13.0,1,2024-06-01,2,4,0.24,0,0,1,0,0,0.3,0.55,0.44,0.17,0.09,0.27,0.29,0.24,0.31,0.25,11,11,8,15,6,1.5,1.4,0.8,1.7,1.1,2.4,0,0,2,22,4,4,14,0,175,Estandar,0,0.0,9.0,1
PLZ-00013,Chile,33,Masculino,Expert Family,Escuela de Data Science e Inteligencia Artificial,Desktop,Conseguir empleo tech,Universitario en curso,3,25,Cuotas x4,66.0,0,2025-03-03,20,16,0.42,6,5,4,1,0,0.02,0.2,0.2,0.15,0.28,0.12,0.08,0.04,0.07,0.07,2,6,21,104,10,2.5,3.7,1.8,3.1,3.3,5.3,1,0,4,22,1,7,19,0,1019,Estandar,0,0.0,10.0,0
PLZ-00014,México,27,Femenino,Basic,Escuela de Cloud Computing,Desktop,Emprender startup,Universitario en curso,7,16,Mensual,26.0,1,2022-08-01,38,7,0.4,2,1,0,0,0,0.49,0.22,0.28,0.13,0.27,0.17,0.04,0.28,0.04,0.46,17,30,9,48,2,0.5,0.3,0.7,0.6,0.6,5.1,24,0,3,10,1,4,12,0,718,Estandar,0,0.0,7.0,1
PLZ-00015,México,36,Femenino,Expert,Escuela de Data Science e Inteligencia Artificial,Desktop,Conseguir empleo tech,Universitario completo,7,10,Anual,332.0,0,2022-04-09,63,11,0.26,2,1,2,0,0,0.01,0.26,0.01,0.14,0.25,0.06,0.37,0.37,0.35,0.16,3,15,10,67,27,6.8,9.7,3.5,8.0,5.6,3.1,13,0,3,7,3,5,18,0,213,Estandar,1,1.3,9.0,0
PLZ-00016,México,41,Femenino,Expert,Escuela de Data Science e Inteligencia Artificial,Mobile,Emprender startup,Universitario completo,1,26,Cuotas x4,261.0,0,2023-10-20,25,9,0.32,2,1,1,0,0,0.58,0.46,0.44,0.33,0.06,0.55,0.24,0.07,0.49,0.09,35,38,0,57,0,0.0,0.0,0.0,0.0,0.0,-4.4,2,0,0,20,2,5,13,0,732,Estandar,0,0.0,0.0,1
